------------------------------+-------------+-------------------------------------+------------------------------------------------------+-----
 A  2  3  4  5  6  7  8  9  T |    PLAY     |        E[X_CDP]          E[X_MAX]   |        SPL1              SPL2              SPL3      | BEST
 0  0  0  0  0  0  0  0 14  7 |  9, 9 vs  9 |   0.6740196078431   0.6740196078431 |  -0.0000000000000   0.3459967320261   0.6740196078431| SPL3
 0  0  0  0  0  0  0  0 14  6 | 10,10 vs 10 |  -0.3823529411765   0.0000000000000 |   0.0000000000000  -0.2882352941176  -0.3823529411765| SPL1
 0  0  0  0  0  0  0  0 14  6 |  9, 9 vs 10 |  -2.5617323852618  -1.5588235294118 |  -1.5588235294118  -2.0693277310924  -2.5617323852618| SPL1
 0  0  0  0  0  0  0  0 14  6 | 10,10 vs  9 |   2.0386554621849   2.0386554621849 |   1.6176470588235   1.9021008403361   2.0386554621849| SPL3
 0  0  0  0  0  0  0  0 14  6 |  9, 9 vs  9 |   0.6363930187460   0.6363930187460 |   0.0000000000000   0.3235294117647   0.6363930187460| SPL3
 0  0  0  0  0  0  0  0 14  5 | 10,10 vs 10 |  -0.2666666666667   0.0000000000000 |   0.0000000000000  -0.2250000000000  -0.2666666666667| SPL1
 0  0  0  0  0  0  0  0 14  5 |  9, 9 vs 10 |  -2.7153846153846  -1.6000000000000 |  -1.6000000000000  -2.1631868131868  -2.7153846153846| SPL1
 0  0  0  0  0  0  0  0 14  5 | 10,10 vs  9 |   2.0321428571429   2.0321428571429 |   1.6750000000000   1.9357142857143   2.0321428571429| SPL3
 0  0  0  0  0  0  0  0 14  5 |  9, 9 vs  9 |   0.5842490842491   0.5842490842491 |   0.0000000000000   0.2946428571429   0.5842490842491| SPL3
 0  0  0  0  0  0  0  0 14  4 | 10,10 vs 10 |  -0.1333333333333   0.0000000000000 |  -0.0000000000000  -0.1333333333333  -0.1333333333333| SPL1
 0  0  0  0  0  0  0  0 14  4 |  9, 9 vs 10 |  -2.9186813186813  -1.6571428571429 |  -1.6571428571429  -2.2901098901099  -2.9186813186813| SPL1
 0  0  0  0  0  0  0  0 14  4 | 10,10 vs  9 |   2.0190476190476   2.0190476190476 |   1.7523809523810   1.9714285714286   2.0190476190476| SPL3
 0  0  0  0  0  0  0  0 14  4 |  9, 9 vs  9 |   0.5142857142857   0.5142857142857 |   0.0000000000000   0.2578754578755   0.5142857142857| SPL3
 0  0  0  0  0  0  0  0 13 14 | 10,10 vs 10 |  -0.7267080745342   0.0000000000000 |   0.0000000000000  -0.4003623188406  -0.7267080745342| SPL1
 0  0  0  0  0  0  0  0 13 14 |  9, 9 vs 10 |  -2.1063800806364  -1.4818840579710 |  -1.4818840579710  -1.8291925465839  -2.1063800806364| SPL1
 0  0  0  0  0  0  0  0 13 14 | 10,10 vs  9 |   2.1454723765937   2.1454723765937 |   1.4782608695652   1.8416149068323   2.1454723765937| SPL3
 0  0  0  0  0  0  0  0 13 14 |  9, 9 vs  9 |   0.7127799736495   0.7127799736495 |  -0.0000000000000   0.4034914361001   0.7127799736495| SPL3
 0  0  0  0  0  0  0  0 13 13 | 10,10 vs 10 |  -0.7224583197123   0.0000000000000 |   0.0000000000000  -0.4037267080745  -0.7224583197123| SPL1
 0  0  0  0  0  0  0  0 13 13 |  9, 9 vs 10 |  -2.1216083687480  -1.4782608695652 |  -1.4782608695652  -1.8322981366460  -2.1216083687480| SPL1
 0  0  0  0  0  0  0  0 13 13 | 10,10 vs  9 |   2.1216083687480   2.1216083687480 |   1.4782608695652   1.8322981366460   2.1216083687480| SPL3
 0  0  0  0  0  0  0  0 13 13 |  9, 9 vs  9 |   0.7224583197123   0.7224583197123 |  -0.0000000000000   0.4037267080745   0.7224583197123| SPL3
 0  0  0  0  0  0  0  0 13 12 | 10,10 vs 10 |  -0.7126452494874   0.0000000000000 |   0.0000000000000  -0.4051948051948  -0.7126452494874| SPL1
 0  0  0  0  0  0  0  0 13 12 |  9, 9 vs 10 |  -2.1413091552410  -1.4761904761905 |  -1.4761904761905  -1.8383458646617  -2.1413091552410| SPL1
 0  0  0  0  0  0  0  0 13 12 | 10,10 vs  9 |   2.1001166016646   2.1001166016646 |   1.4805194805195   1.8257006151743   2.1001166016646| SPL3
 0  0  0  0  0  0  0  0 13 12 |  9, 9 vs  9 |   0.7300068352700   0.7300068352700 |   0.0000000000000   0.4025974025974   0.7300068352700| SPL3
 0  0  0  0  0  0  0  0 13 11 | 10,10 vs 10 |  -0.6955820924861   0.0000000000000 |   0.0000000000000  -0.4040100250627  -0.6955820924861| SPL1
 0  0  0  0  0  0  0  0 13 11 |  9, 9 vs 10 |  -2.1670352351467  -1.4761904761905 |  -1.4761904761905  -1.8483709273183  -2.1670352351467| SPL1
 0  0  0  0  0  0  0  0 13 11 | 10,10 vs  9 |   2.0815568332596   2.0815568332596 |   1.4857142857143   1.8225563909774   2.0815568332596| SPL3
 0  0  0  0  0  0  0  0 13 11 |  9, 9 vs  9 |   0.7346306943830   0.7346306943830 |   0.0000000000000   0.3997493734336   0.7346306943830| SPL3
 0  0  0  0  0  0  0  0 13 10 | 10,10 vs 10 |  -0.6691176470588   0.0000000000000 |   0.0000000000000  -0.3991228070175  -0.6691176470588| SPL1
 0  0  0  0  0  0  0  0 13 10 |  9, 9 vs 10 |  -2.2009287925697  -1.4789473684211 |  -1.4789473684211  -1.8637770897833  -2.2009287925697| SPL1
 0  0  0  0  0  0  0  0 13 10 | 10,10 vs  9 |   2.0664602683179   2.0664602683179 |   1.4947368421053   1.8237358101135   2.0664602683179| SPL3
 0  0  0  0  0  0  0  0 13 10 |  9, 9 vs  9 |   0.7352941176471   0.7352941176471 |   0.0000000000000   0.3947368421053   0.7352941176471| SPL3
 0  0  0  0  0  0  0  0 13  9 | 10,10 vs 10 |  -0.6305469556244   0.0000000000000 |   0.0000000000000  -0.3890608875129  -0.6305469556244| SPL1
